id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.AUD.price,quote.AUD.volume_24h,quote.AUD.volume_change_24h,quote.AUD.percent_change_1h,quote.AUD.percent_change_24h,quote.AUD.percent_change_7d,quote.AUD.percent_change_30d,quote.AUD.percent_change_60d,quote.AUD.percent_change_90d,quote.AUD.market_cap,quote.AUD.market_cap_dominance,quote.AUD.fully_diluted_market_cap,quote.AUD.tvl,quote.AUD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11114,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19714253.0,19714253.0,False,,1,,,,2024-06-19T03:30:00.000Z,98240.59354696627,52951398578.738846,0.4211,0.06997998,0.04679744,-2.79968947,-1.688998,2.26597957,-2.5865521,1936739916055.0605,54.288,2063052464486.2876,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
1027,Ethereum,ETH,ethereum,9069,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276014.91129717,122276014.91129717,True,,2,,,,2024-06-19T03:29:00.000Z,5329.774307705614,28600686838.483345,-7.6974,0.39991345,3.58773368,1.46538434,15.04457476,16.18956248,0.64605979,651703562722.8602,18.2676,651703562722.854,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
825,Tether USDt,USDT,tether,88922,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112606076384.23582,116084537290.48198,True,,3,,,,2024-06-19T03:29:00.000Z,1.5003117524091554,102605232923.39148,-6.4848,0.03003669,-0.01905536,-0.01273924,-0.02653967,-0.08250325,-0.03381348,168944219791.95206,4.7356,174162995569.8938,,2024-06-19T03:31:05.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-19 13:32:02.133951
1839,BNB,BNB,bnb,2183,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583920.66132015,147583920.66132015,False,,4,,,,2024-06-19T03:29:00.000Z,897.4180556222974,3017448063.544208,-4.5773,0.3751275,0.67191348,-1.16076183,3.85937044,7.17264409,6.93604855,132444475120.99733,3.7125,132444475120.99884,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
5426,Solana,SOL,solana,689,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,461907394.2163694,578472161.8964047,True,,5,,,,2024-06-19T03:29:00.000Z,210.52446613273256,4669782414.901367,-6.6099,0.60491035,4.59353849,-6.060142,-18.55994507,-1.63152744,-27.41505549,97242807570.16281,2.7258,121782543055.89403,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
3408,USDC,USDC,usd-coin,19781,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32844921937.196934,32844921937.196934,False,,6,,,,2024-06-19T03:29:00.000Z,1.5008071753367815,9686447558.589294,-4.2821,0.0198737,0.01965806,0.00809067,-0.0005039,-0.00671358,-0.0009805,49293894516.72162,1.3817,49293894516.725235,,2024-06-19T03:31:05.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-19 13:32:02.133951
52,XRP,XRP,xrp,1341,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55570463728.0,99987531962.0,False,,7,,,,2024-06-19T03:30:00.000Z,0.745213574616297,2409611202.845643,-34.8895,0.1430633,1.65794369,3.33206723,-3.19776099,-2.41705075,-18.78487276,41411863917.828156,1.1608,74521357461.62463,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144768066383.7052,144768066383.7052,True,,8,,,,2024-06-19T03:30:00.000Z,0.18946086035806578,1482946880.6676602,-31.6633,0.40770231,3.94717127,-8.49117187,-16.44188024,-18.8857687,-17.33550098,27427882409.43037,0.7688,27427882409.424778,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
11419,Toncoin,TON,toncoin,426,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2438119665.45552,5107783491.082097,True,,9,3414166606.0,24529382410.290115,,2024-06-19T03:29:00.000Z,10.781552853722053,638186975.2070549,-8.0691,-0.28057277,-3.84006532,2.1970893,13.08040192,18.45482155,68.10234489,26286716036.807823,0.7368,55069837674.47294,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
2010,Cardano,ADA,cardano,1196,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35734412443.601,36980576545.153,False,,10,,,,2024-06-19T03:29:00.000Z,0.5892933027341004,645104471.2877066,-24.1173,0.15907114,4.25427409,-7.21499332,-16.42756311,-17.75432811,-38.96479555,21058049930.15217,0.5903,26518198623.04175,,2024-06-19T03:31:05.000Z,,,,,,2024-06-19 13:32:02.133951
5994,Shiba Inu,SHIB,shiba-inu,833,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271349448629.4,589519792189012.2,False,,11,,,,2024-06-19T03:29:00.000Z,2.8288150830240497e-05,712481466.8188605,-19.6944,0.40974232,5.46058758,-13.24942335,-20.98260687,-18.42642455,-30.97794667,16669396813.142183,0.4673,16676424798.86055,,2024-06-19T03:31:05.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-19 13:32:02.133951
